,Train  Set (Data Length: 500),,,,,,,
,BLEU,,Rouge 1,,Rouge 2,,Rouge L,
,Original,Modified,Original,Modified,Original,Modified,Original,Modified
LLaMA-8B,0.0002,0.0002,0.0089,0.009,0.0009,0.0009,0.0088,0.0089
Mistral-7B,0.0047,0.0047,0.126,0.1275,0.0205,0.0204,0.1252,0.1267
FinMA-Full-7B,0.048,0.048,0.779,0.745,0.242,0.232,0.779,0.745
FinMA-NLP-7B,0.048,0.048,0.5221,0.5188,0.192,0.188,0.5221,0.5188
Baichuan-13B,0.0038,0.0038,0.1128,0.1106,0.0093,0.0092,0.1127,0.1105
Disc-Fin-13B,0.0043,0.0043,0.0883,0.0877,0.0073,0.0075,0.0883,0.0877
GPT-4o-mini,0.0221,0.0195,0.2548,0.2599,0.0406,0.0366,0.2545,0.2591
,,,,,,,,
,Validation  Set (Data Length:500),,,,,,,
,BLEU,,Rouge 1,,Rouge 2,,Rouge L,
,Original,Modified,Original,Modified,Original,Modified,Original,Modified
LLaMA-8B,0.0003,0.0003,0.0095,0.009,0.001,0.001,0.0093,0.0088
Mistral-7B,0.0024,0.0024,0.1263,0.1293,0.0122,0.0126,0.1245,0.1275
FinMA-Full-7B,0.0474,0.0474,0.5795,0.5842,0.1514,0.1494,0.5792,0.5839
FinMA-NLP-7B,0.0566,0.0566,0.4399,0.4385,0.1482,0.1482,0.4395,0.4381
Baichuan-13B,0.003,0.003,0.0953,0.0904,0.0089,0.0091,0.0951,0.0902
Disc-Fin-13B,0.0012,0.0012,0.0798,0.0789,0.0121,0.0121,0.0798,0.0789
GPT-4o-mini,0.01,0.0109,0.2563,0.2702,0.0195,0.0207,0.2556,0.27
